Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
40613,,,,2015-04-26,,,,,Telecommunications,Norway
3428-2015-005,,,,2015-03-31,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3426-2015-005,,,,2015-03-31,,,,,Work on a low-orbit satellite communications system,Russian Federation
3427-2015-005,,,,2015-03-31,,,,,Work on a low-orbit satellite communications system,Russian Federation
3425-2015-005,,,,2015-03-31,,,,,Work on a low-orbit satellite communications system,Russian Federation
15018,,,,2015-03-28,,,,,Navigation satellite of the IRNSS series,India
3424-2015-004,,,,2015-03-27,,,,,"Delivery to the International Space Station of the crew for Expedition 43/44 consisting of Commander Gennady Padalka (Russian Federation), and flight engineers Mikhail Kornienko (Russian Federation) and Scott Kelly (United States of America)",Russian Federation
2015-015A,INFORMATION GATHERING SATELLITE (IGS),,,2015-03-26,,,,,Satellite conducting missions assigned by the Government of Japan,Japan
3423-2015-003,,,,2015-03-18,,,,,Telecommunications satellite,Russian Federation
3422-2015-002,,,,2015-02-27,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation.,Russian Federation
3421-2015-001,,,,2015-02-17,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food and other consumable materials required for manned operation of the Station.",Russian Federation
2015-004A,INFORMATION GATHERING SATELLITE (GS),,,2015-02-01,,,,,Satellite conducting missions assigned by the Government of Japan,Japan
3420-2014-027,,,,2014-12-26,,,,,"For highly detailed images of the Earth’s surface, mapping, environmental monitoring, examining natural resources, monitoring natural disasters and evaluating their impact",Russian Federation
3419-2014-026,,,,2014-12-25,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3418-2014-025,IPM SIMULATED SATELLITE,,,2014-12-23,,,,,Transfer to disposal orbit of the full-scale mock-up space vehicle and Breeze-M booster after launch into geostationary orbit,Russian Federation
40348,,,,2014-12-18,,,,,Communications,United Kingdom
40350,,,,2014-12-18,,,,,Communications,United Kingdom
40349,,,,2014-12-18,,,,,Communications,United Kingdom
40351,,,,2014-12-18,,,,,Communications,United Kingdom
3417-2014-024,,,,2014-12-15,,,,,"Providing communications services and television broadcasting to Europe and Asia, as well as to Russian gas companies",Russian Federation
14078/ 40332,,,,2014-12-07,,,,,Communication satellite,India
2014-076C,,,,2014-12-03,,,,,ArtSat2 DESPATCH is an art object cast into deep space that composes poetry. The poetry is transmitted on its continuous wave (CW) beacon.,Japan
2014-076A,,,,2014-12-03,,,,,"New function: Rendezvous mission to asteroid 1998 KY26 to explore the fast-rotating small asteroid, including a fly-by of asteroid 2001 CC21. Original function: Sample return from a C-type asteroid asteroid ""1999 JU3"" known as “Ryugu” to study the origin and evolution of the solar system, as well as materials for life",Japan
3416-2014-023,(GLONASS K),,,2014-12-01,,,,,Work on the Global Navigation Satellite System (GLONASS),Russian Federation
