Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
606,,,,1972-05-05,,,,,Investigation of the upper atmosphere and outer space.,USSR
605,,,,1972-04-21,,,,,Investigation of the upper atmosphere and outer space.,USSR
603,,,,1972-04-14,,,,,Study of the processes of solar activity and of their influence on interplanetary space and the Earth's magnetosphere.,USSR
604,,,,1972-04-14,,,,,Investigation of the upper atmosphere and outer space.,USSR
602,,,,1972-04-11,,,,,Investigation of the upper atmosphere and outer space.,USSR
601,,,,1972-04-07,,,,,Investigation of primary cosmic radiation and meteoric particles in near-earth outer space.,USSR
600,,,,1972-04-06,,,,,Investigation of the upper atmosphere and outer space.,USSR
599,,,,1972-04-04,,,,,Investigation of the upper atmosphere and outer space.,USSR
598,,,,1972-04-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
597,,,,1972-03-31,,,,,Investigation of the upper atmosphere and outer space.,USSR
596,METEOR 1-11,,,1972-03-30,,,,,Acquisition of meteorological information needed for use by the weather service.,USSR
595,,,,1972-03-27,,,,,Continuation of investigation of Venus previously conducted by Venera automatic stations.,USSR
594,,,,1972-03-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
593,,,,1972-03-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
592,,,,1972-03-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
591,,,,1972-03-15,,,,,Investigation of the upper atmosphere and outer space.,USSR
590,,,,1972-03-04,,,,,Investigation of the upper atmosphere and outer space.,USSR
589,,,,1972-03-01,,,,,Investigation of the upper atmosphere and outer space.,USSR
588,,,,1972-02-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
587,,,,1972-02-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
586,,,,1972-02-14,,,,,Scientific investigation of the moon and near-lunar space; automatic return to Earth of lunar soil.,USSR
585,,,,1972-02-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
584,,,,1972-01-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
583,,,,1972-01-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
582,,,,1971-12-29,,,,,Acquisition of meteorological information needed for use by the weather service.,USSR
581,(AUREOLE 1),,,1971-12-27,,,,,Investigation of physical phenomena in the Earth's upper atmosphere at high latitudes and study of the nature of auroras.,USSR (for France)
580,,,,1971-12-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
579,,,,1971-12-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
578,MOLNIYA 1-19,,,1971-12-20,,,,,Continued operation of the long-range telephone and telegraph radiocommunications system and transmission of USSR central television programmes to stations in the Orbita networks,USSR
577,,,,1971-12-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
576,,,,1971-12-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
575,,,,1971-12-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
574,,,,1971-12-15,,,,,Investigation of the upper atmosphere and outer space.,USSR
573,,,,1971-12-10,,,,,Investigation of the upper atmosphere and outer space.,USSR
572,,,,1971-12-06,,,,,Investigation of the upper atmosphere and outer space.,USSR
571,,,,1971-12-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
570,,,,1971-12-02,,,,,Investigation of the upper atmosphere and outer space.,USSR
569,,,,1971-12-02,,,,,"Study of radiation levels in near-Earth space, investigation of dipole corpuscular streams in near space in connexion with solar activity and investigation of the nature and spectrum of low-frequency electromagnetic oscillations in natural plasma.",USSR
568,,,,1971-11-30,,,,,Investigation of the upper atmosphere and outer space.,USSR
567,,,,1971-11-30,,,,,Investigation of the upper atmosphere and outer space.,USSR
566,,,,1971-11-29,,,,,Investigation of the upper atmosphere and outer space.,USSR
565,,,,1971-11-24,,,,,Continued operation of the long-range telephone and telegraph radio-communication system within the Soviet Union and transmission of USSR central television programmes to stations in the Orbita and participating international networks,USSR
564,,,,1971-11-20,,,,,Investigation of the upper atmosphere and outer space.,USSR
563,,,,1971-11-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
562,,,,1971-11-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
560,,,,1971-10-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
559,,,,1971-10-14,,,,,Investigation of the upper atmosphere and outer space.,USSR
553,,,,1971-10-13,,,,,Investigation of the upper atmosphere and outer space.,USSR
551,,,,1971-10-13,,,,,Investigation of the upper atmosphere and outer space.,USSR
558,,,,1971-10-13,,,,,Investigation of the upper atmosphere and outer space.,USSR
557,,,,1971-10-13,,,,,Investigation of the upper atmosphere and outer space.,USSR
554,,,,1971-10-13,,,,,Investigation of the upper atmosphere and outer space.,USSR
556,,,,1971-10-13,,,,,Investigation of the upper atmosphere and outer space.,USSR
555,,,,1971-10-13,,,,,Investigation of the upper atmosphere and outer space.,USSR
552,,,,1971-10-13,,,,,Investigation of the upper atmosphere and outer space.,USSR
550,,,,1971-10-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
549,,,,1971-09-29,,,,,Investigation of the upper atmosphere and outer space.,USSR
548,,,,1971-09-28,,,,,Investigation of the moon and near-lunar space from the orbit of an artificial satellite.,USSR
547,,,,1971-09-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
546,,,,1971-09-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
545,,,,1971-09-21,,,,,Investigation of the upper atmosphere and outer space.,USSR
544,,,,1971-09-14,,,,,Investigation of the upper atmosphere and outer space.,USSR
543,,,,1971-09-10,,,,,Investigation of the upper atmosphere and outer space.,USSR
542,,,,1971-09-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
541,,,,1971-09-02,,,,,"Testing of methods for automatic near-lunar navigation, investigation of the moon and near-lunar space.",USSR
540,,,,1971-08-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
539,,,,1971-08-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
538,,,,1971-08-09,,,,,Investigation of the upper atmosphere and outer space.,USSR
537,,,,1971-08-05,,,,,Investigation of the upper atmosphere and outer space.,USSR
536,,,,1971-07-30,,,,,Investigation of the upper atmosphere and outer space.,USSR
535,,,,1971-07-28,,,,,Continued operation of the long-range telephone and telegraph radiocommunications system and transmission of USSR Central Television programmes to stations in the Orbita network.,USSR
534,,,,1971-07-23,,,,,Investigation of the upper atmosphere and outer space.,USSR
533,,,,1971-07-20,,,,,Investigation of the upper atmosphere and outer space.,USSR
532,,,,1971-07-16,,,,,Acquisition of meteorological information needed for use by the weather service.,USSR
531,,,,1971-06-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
530,,,,1971-06-11,,,,,Investigation of the upper atmosphere and outer space.,USSR
529,,,,1971-06-06,,,,,Conduct of joint experiments with the Salyut scientific station; compound checking of improved on-board spacecraft systems in different conditions of flight; conduct of medico-biological research.,USSR
528,,,,1971-06-05,,,,,Investigation of the upper atmosphere and outer space.,USSR
527,,,,1971-05-29,,,,,Investigation of the upper atmosphere and outer space.,USSR
525,,,,1971-05-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
526,,,,1971-05-28,,,,,Conduct of a series of scientific investigations of the planet Mars and the space around it.,USSR
524,,,,1971-05-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
523,,,,1971-05-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
521,,,,1971-05-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
522,,,,1971-05-19,,,,,Conduct of a series of scientific investigations of the planet Mars and the space around it.,USSR
520,,,,1971-05-18,,,,,Investigation of the upper atmosphere and outer space.,USSR
519,,,,1971-05-10,,,,,Investigation of the upper atmosphere and outer space.,USSR
517,,,,1971-05-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
514,,,,1971-05-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
513,,,,1971-05-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
512,,,,1971-05-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
511,,,,1971-05-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
516,,,,1971-05-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
515,,,,1971-05-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
518,,,,1971-05-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
510,,,,1971-05-06,,,,,Investigation of the upper atmosphere and outer space.,USSR
509,,,,1971-04-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
508,,,,1971-04-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
507,,,,1971-04-23,,,,,Investigation of the upper atmosphere and outer space.,USSR
506,,,,1971-04-23,,,,,Conduct of joint experiments with the Salyut scientific station; compound checking of improved on-board spacecraft systems in different conditions of flight; conduct of medico-biological research.,USSR
505,,,,1971-04-19,,,,,Testing of design elements and on-board systems; conduct of research and experiments in space flight.,USSR
504,METEOR 1-8,,,1971-04-17,,,,,Acquisition of meteorological information needed for use by the weather service.,USSR
503,,,,1971-04-14,,,,,Investigation of the upper atmosphere and outer space.,USSR
502,,,,1971-04-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
501,,,,1971-04-04,,,,,Investigation of the upper atmosphere and outer space.,USSR
500,,,,1971-04-02,,,,,Investigation of the upper atmosphere and outer space.,USSR
499,,,,1971-04-01,,,,,Investigation of the upper atmosphere and outer space.,USSR
498,,,,1971-03-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
497,,,,1971-03-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
2005/21,,,,1971-03-03,,,,,Scientific experiment satellite,China
496,,,,1971-03-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
495,,,,1971-02-26,,,,,Investigation of the upper atmosphere and outer space.,USSR
494,,,,1971-02-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
492,,,,1971-02-18,,,,,Investigation of the upper atmosphere and outer space.,USSR
493,,,,1971-02-18,,,,,Investigation of the upper atmosphere and outer space.,USSR
491,,,,1971-02-09,,,,,Investigation of the upper atmosphere and outer space.,USSR
490,,,,1971-01-26,,,,,Investigation of the upper atmosphere and outer space.,USSR
489,,,,1971-01-21,,,,,Investigation of the upper atmosphere and outer space.,USSR
488,,,,1971-01-20,,,,,Acquisition of meteorological information needed for use by the weather service.,USSR
487,,,,1971-01-14,,,,,Investigation of the upper atmosphere and outer space.,USSR
486,,,,1971-01-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
485,,,,1970-12-25,,,,,Continued operation of the long-range telephone and telegraph radio-communications system and transmission of USSR Central Television programmes to the stations in the Orbita network.,USSR
484,,,,1970-12-18,,,,,Investigation of the upper atmosphere and outer space.,USSR
483,,,,1970-12-18,,,,,Investigation of the upper atmosphere and outer space.,USSR
482,,,,1970-12-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
481,,,,1970-12-15,,,,,Investigation of the upper atmosphere and outer space.,USSR
480,,,,1970-12-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
479,,,,1970-12-10,,,,,Investigation of the upper atmosphere and outer space.,USSR
478,,,,1970-12-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
476,(IONOZOND),,,1970-12-02,,,,,Investigation of the upper atmosphere and outer space.,USSR
477,,,,1970-12-02,,,,,Investigation of the upper atmosphere and outer space.,USSR
475,,,,1970-11-27,,,,,Operation of the long-range telephone and telegraph radiocommunications system and transmission of USSR Central Television programmes to stations in the Orbita network.,USSR
474,,,,1970-11-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
473,,,,1970-11-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
472,,,,1970-11-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
471,,,,1970-11-11,,,,,Investigation of the upper atmosphere and outer space.,USSR
470,,,,1970-11-10,,,,,"Delivery to the moon of an automatic, self-propelled lunar vehicle, Lunokhod 1, operated from Earth for purposes of scientific investigations.",USSR
468,,,,1970-10-30,,,,,Investigation of the upper atmosphere and outer space.,USSR
469,,,,1970-10-30,,,,,Investigation of the upper atmosphere and outer space.,USSR
467,,,,1970-10-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
465,,,,1970-10-20,,,,,Investigation of the upper atmosphere and outer space.,USSR
466,,,,1970-10-20,,,,,"Investigations along the flight path and in near-lunar space; photographing of Earth and Moon; testing of improved onboard systems, assemblies and spacecraft designs.",USSR
464,,,,1970-10-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
463,,,,1970-10-15,,,,,Acquisition of meteorological information needed for use by the weather service.,USSR
462,,,,1970-10-14,,,,,Investigation of the ultra-violet and x-radiation of the sun and its effect on the structure of the Earth's upper atmosphere.,USSR
461,,,,1970-10-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
460,,,,1970-10-09,,,,,Investigation of the upper atmosphere and outer space.,USSR
459,,,,1970-10-08,,,,,Investigation of the upper atmosphere and outer space.,USSR
458,(BION),,,1970-10-08,,,,,Biological investigations and study of the physical characteristics of outer space.,USSR
457,,,,1970-10-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
456,,,,1970-10-01,,,,,Investigation of the upper atmosphere and outer space.,USSR
455,,,,1970-09-29,,,,,Operation of the long range telephone and telegraph radiocommunication system and transmission of USSR Central Television programmes to the stations in the Orbita network.,USSR
454,,,,1970-09-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
453,,,,1970-09-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
452,,,,1970-09-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
451,,,,1970-09-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
450,,,,1970-09-12,,,,,Scientific investigation of the moon and near-lunar space; automatic return to Earth of lunar soil.,USSR
449,,,,1970-09-08,,,,,------,USSR
448,,,,1970-08-29,,,,,------,USSR
447,,,,1970-08-22,,,,,------,USSR
446,,,,1970-08-20,,,,,------,USSR
445,,,,1970-08-19,,,,,------,USSR
444,,,,1970-08-17,,,,,------,USSR
443,,,,1970-08-10,,,,,------,USSR
441,,,,1970-08-07,,,,,------,USSR
442,,,,1970-08-07,,,,,------,USSR
440,,,,1970-07-28,,,,,------,USSR
439,,,,1970-07-09,,,,,Research into the upper atmosphere and outer space,USSR
438,,,,1970-07-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
437,,,,1970-06-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
436,,,,1970-06-26,,,,,Investigation of the upper atmosphere and outer space.,USSR
435,,,,1970-06-26,,,,,"Operation of a system of long range telephone-telegraph radio communication and transmission of USSR Central Television programmes to the stations of the ""Orbit"" system.",USSR
434,,,,1970-06-23,,,,,Acquisition of meteorological information needed for use by the weather service.,USSR
433,,,,1970-06-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
432,(INTERCOSMOS),,,1970-06-13,,,,,Investigation of the upper atmosphere and outer space.,USSR
431,,,,1970-06-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
430,,,,1970-06-10,,,,,Investigation of the upper atmosphere and outer space.,USSR
429,,,,1970-06-01,,,,,"Medico-biological, scientific and technical studies and experiments in prolonged orbital flight.",USSR
428,,,,1970-05-20,,,,,Investigation of the upper atmosphere and outer space.,USSR
427,,,,1970-05-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
426,,,,1970-04-28,,,,,Acquisition of meteorological information needed for use by the weather service.,USSR
420,,,,1970-04-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
419,,,,1970-04-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
418,,,,1970-04-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
425,,,,1970-04-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
424,,,,1970-04-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
423,,,,1970-04-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
422,,,,1970-04-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
421,,,,1970-04-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
2005/20,,,,1970-04-24,,,,,Scientific experiment satellite,China
417,,,,1970-04-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
416,,,,1970-04-23,,,,,Investigation of the upper atmosphere and outer space.,USSR
415,,,,1970-04-15,,,,,Investigation of the upper atmosphere and outer space.,USSR
414,,,,1970-04-11,,,,,Investigation of the upper atmosphere and outer space.,USSR
413,,,,1970-04-08,,,,,Investigation of the upper atmosphere and outer space.,USSR
412,,,,1970-04-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
411,,,,1970-04-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
410,,,,1970-03-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
409,,,,1970-03-18,,,,,Investigation of the upper atmosphere and outer space.,USSR
408,,,,1970-03-17,,,,,Acquisition of meteorological information needed for use by the weather service.,USSR
407,,,,1970-03-13,,,,,Investigation of the upper atmosphere and outer space.,USSR
406,,,,1970-03-04,,,,,Investigation of the upper atmosphere and outer space.,USSR
405,,,,1970-02-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
404,,,,1970-02-19,,,,,"Operation of a system of long range telephone-telegraph radio communication and transmission of USSR Central Television programmes to the stations of the ""Orbita"" network.",USSR
403,,,,1970-02-10,,,,,Investigation of the upper atmosphere and outer space.,USSR
402,,,,1970-01-21,,,,,Investigation of the upper atmosphere and outer space.,USSR
401,,,,1970-01-20,,,,,Investigation of the upper atmosphere and outer space.,USSR
400,,,,1970-01-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
399,,,,1970-01-15,,,,,Investigation of the upper atmosphere and outer space.,USSR
398,,,,1970-01-09,,,,,Investigation of the upper atmosphere and outer space.,USSR
397,,,,1969-12-25,,,,,Investigation of the characteristics of the earth's ionosphere and of concentrations of electrons and positive ions.,USSR
395,,,,1969-12-23,,,,,Investigation of the upper atmosphere and outer space.,USSR
396,,,,1969-12-23,,,,,Investigation of the upper atmosphere and outer space.,USSR
394,,,,1969-12-20,,,,,Investigation of the upper atmosphere and outer space.,USSR
393,,,,1969-12-11,,,,,Investigation of the upper atmosphere and outer space.,USSR
392,,,,1969-12-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
391,,,,1969-11-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
390,,,,1969-11-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
389,,,,1969-11-15,,,,,Investigation of the upper atmosphere and outer space.,USSR
388,,,,1969-11-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
387,,,,1969-11-04,,,,,Investigation of the upper atmosphere and outer space.,USSR
386,,,,1969-10-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
385,,,,1969-10-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
384,,,,1969-10-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
383,,,,1969-10-21,,,,,Investigation of the upper atmosphere and outer space.,USSR
382,,,,1969-10-18,,,,,Investigation of the upper atmosphere and outer space.,USSR
381,,,,1969-10-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
380,,,,1969-10-14,,,,,Investigation of solar radiation and its effect on the atmosphere of the earth.,USSR
379,,,,1969-10-13,,,,,"Testing of space craft systems and designs, manoeuvring of space craft with respect to each other in orbit, conduct of scientific, technical and medico-biological experiments in group flight.",USSR
378,,,,1969-10-12,,,,,"Testing of space craft systems and designs, manoeuvring of space craft with respect to each other in orbit, conduct of scientific, technical and medico-biological experiments in group flight.",USSR
377,,,,1969-10-11,,,,,"Testing of space craft systems and designs, manoeuvring of space craft with respect to each other in orbit, conduct of scientific, technical and medico-biological experiments in group flight.",USSR
376,,,,1969-10-06,,,,,Acquisition of meteorological information needed for use by the weather service.,USSR
375,,,,1969-09-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
374,,,,1969-09-23,,,,,Investigation of the upper atmosphere and outer space.,USSR
373,,,,1969-09-18,,,,,Investigation of the upper atmosphere and outer space.,USSR
372,,,,1969-09-15,,,,,Investigation of the upper atmosphere and outer space.,USSR
371,,,,1969-09-02,,,,,Investigation of the upper atmosphere and outer space.,USSR
370,,,,1969-08-29,,,,,Investigation of the upper atmosphere and outer space.,USSR
369,,,,1969-08-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
368,,,,1969-08-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
367,,,,1969-08-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
366,,,,1969-08-14,,,,,Investigation of the upper atmosphere and outer space.,USSR
365,,,,1969-08-07,,,,,"Flight around the moon; further study of the moon and circumlunar space; testing of improved on-board systems and assemblies of the station; return to earth at second cosmic speed, guided descent and soft landing in target area.",USSR
364,,,,1969-08-06,,,,,Investigation of the upper atmosphere and outer space.,USSR
362,,,,1969-07-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
363,,,,1969-07-22,,,,,"Operation of a system of long range telephone-telegraph radiocommunication and transmission of USSR Central Television programmes to the stations of the ""Orbita"" network.",USSR
361,,,,1969-07-13,,,,,Testing of on-board systems of the automatic station and further scientific investigation of the moon and circumlunar space.,USSR
360,,,,1969-07-10,,,,,Investigation of the upper atmosphere and outer space.,USSR
359,,,,1969-06-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
358,,,,1969-06-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
357,,,,1969-06-15,,,,,Investigation of the upper atmosphere and outer space.,USSR
356,,,,1969-06-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
355,,,,1969-05-29,,,,,Investigation of the upper atmosphere and outer space.,USSR
354,,,,1969-05-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
353,,,,1969-05-20,,,,,Investigation of the upper atmosphere and outer space.,USSR
351,,,,1969-04-23,,,,,Investigation of the upper atmosphere and outer space.,USSR
350,,,,1969-04-15,,,,,Investigation of the upper atmosphere and outer space.,USSR
349,,,,1969-04-11,,,,,"Maintenance of long range telephone and telegraph radiocommunications system operation and broadcasts from USSR Central Television to stations of the ""Orbita"" network.",USSR
348,,,,1969-04-09,,,,,Investigation of the upper atmosphere and outer space.,USSR
347,,,,1969-04-04,,,,,Investigation of the upper atmosphere and outer space.,USSR
346,,,,1969-04-04,,,,,Investigation of the upper atmosphere and outer space.,USSR
345,,,,1969-03-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
344,,,,1969-03-26,,,,,Acquisition of meteorological information needed for use by the weather service.,USSR
343,,,,1969-03-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
342,,,,1969-03-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
341,,,,1969-03-17,,,,,Investigation of the upper atmosphere and outer space,USSR
340,,,,1969-03-15,,,,,Investigation of the upper atmosphere and outer space,USSR
339,,,,1969-03-06,,,,,Investigation of the upper atmosphere and outer space,USSR
337,,,,1969-03-05,,,,,Investigation of the upper atmosphere and outer space,USSR
338,,,,1969-03-05,,,,,Investigation of the upper atmosphere and outer space,USSR
336,,,,1969-02-26,,,,,Investigation of the upper atmosphere and outer space,USSR
335,,,,1969-02-25,,,,,Investigation of the upper atmosphere and outer space,USSR
334,,,,1969-02-07,,,,,Investigation of the upper atmosphere and outer space,USSR
333,,,,1969-01-23,,,,,Investigation of the upper atmosphere and outer space,USSR
332,,,,1969-01-15,,,,,"Scientific, technical and medico-biological research, checking and testing of onboard systems and design elements of space craft, docking of piloted space craft and construction of an experimental space station, transfer of cosmonauts from one craft to an",USSR
331,,,,1969-01-14,,,,,"Scientific, technical and medico-biological research, checking and testing of onboard systems and design elements of space craft, docking of piloted space craft and construction of an experimental space station, transfer of cosmonauts from one craft to an",USSR
330,,,,1969-01-12,,,,,Investigation of the upper atmosphere and outer space,USSR
329,,,,1969-01-10,,,,,Investigation of the planet Venus and outer space.,USSR
328,,,,1969-01-05,,,,,Investigation of the planet Venus and outer space.,USSR
327,,,,1968-12-26,,,,,Investigation of the upper atmosphere and outer space,USSR
326,(INTERCOSMOS),,,1968-12-20,,,,,Investigation of the upper atmosphere and outer space,USSR
325,,,,1968-12-16,,,,,Investigation of the upper atmosphere and outer space,USSR
324,,,,1968-12-14,,,,,Investigation of the upper atmosphere and outer space,USSR
323,,,,1968-12-10,,,,,Investigation of the upper atmosphere and outer space,USSR
322,,,,1968-12-03,,,,,Investigation of the upper atmosphere and outer space,USSR
321,,,,1968-11-30,,,,,Investigation of the upper atmosphere and outer space,USSR
320,,,,1968-11-29,,,,,Investigation of the upper atmosphere and outer space,USSR
319,,,,1968-11-21,,,,,Investigation of the upper atmosphere and outer space,USSR
318,,,,1968-11-16,,,,,Study of the nature of high- and ultra-high energy cosmic rays and their interaction with atomic nuclei.,USSR
317,,,,1968-11-13,,,,,Investigation of the upper atmosphere and outer space,USSR
316,,,,1968-11-10,,,,,Flight around the moon; scientific investigation of outer space along flight trajectory and in the region of the moon; return to earth at second space speed and soft landing in target area.,USSR
315,,,,1968-11-01,,,,,Investigation of the upper atmosphere and outer space,USSR
313,,,,1968-10-31,,,,,Investigation of the upper atmosphere and outer space,USSR
314,,,,1968-10-31,,,,,Investigation of the upper atmosphere and outer space,USSR
312,,,,1968-10-26,,,,,"Complex testing of spaceship systems; development, in joint flight with space ship ""Soyuz 2"" of process of space ship manoeuvring and docking in artificial earth satellite orbit; development of elements of celestial navigation; conduct of research under s",USSR
311,,,,1968-10-25,,,,,Complex testing of spaceship systems in conditions of space flight.,USSR
310,,,,1968-10-20,,,,,Investigation of the upper atmosphere and outer space,USSR
309,,,,1968-10-19,,,,,Investigation of the upper atmosphere and outer space,USSR
308,,,,1968-10-11,,,,,Investigation of the upper atmosphere and outer space,USSR
307,,,,1968-10-07,,,,,Investigation of the upper atmosphere and outer space,USSR
306,,,,1968-10-05,,,,,"Operation of a system of long range telephone-telegraph radio communication and transmission of USSR Central Television programmes to the stations of the ""Orbit"" network.",USSR
305,,,,1968-10-03,,,,,Investigation of the upper atmosphere and outer space,USSR
304,,,,1968-10-02,,,,,Investigation of the upper atmosphere and outer space,USSR
303,,,,1968-09-23,,,,,Investigation of the upper atmosphere and outer space,USSR
302,,,,1968-09-20,,,,,Investigation of the upper atmosphere and outer space,USSR
301,,,,1968-09-16,,,,,Investigation of the upper atmosphere and outer space,USSR
300,,,,1968-09-15,,,,,Flight around the moon; scientific investigation of outer space in the region of the moon; return to earth at second space speed and soft landing in target area.,USSR
299,,,,1968-09-14,,,,,Investigation of the upper atmosphere and outer space,USSR
298,,,,1968-09-05,,,,,Investigation of the upper atmosphere and outer space,USSR
297,,,,1968-08-28,,,,,Investigation of the upper atmosphere and outer space,USSR
296,,,,1968-08-27,,,,,Investigation of the upper atmosphere and outer space,USSR
295,,,,1968-08-27,,,,,Investigation of the upper atmosphere and outer space,USSR
294,,,,1968-08-09,,,,,Investigation of the upper atmosphere and outer space,USSR
293,,,,1968-07-30,,,,,Investigation of the upper atmosphere and outer space,USSR
292,,,,1968-07-18,,,,,Investigation of the upper atmosphere and outer space,USSR
291,,,,1968-07-16,,,,,Investigation of the upper atmosphere and outer space,USSR
290,,,,1968-07-10,,,,,Investigation of the upper atmosphere and outer space,USSR
288,,,,1968-07-05,,,,,Investigation of the upper atmosphere and outer space,USSR
289,,,,1968-07-05,,,,,"Operation of a system of long range telephone-telegraph radio communication and transmission of USSR Central Television programmes to the stations of the ""Orbit"" system.",USSR
287,,,,1968-06-26,,,,,Investigation of the upper atmosphere and outer space,USSR
286,,,,1968-06-21,,,,,Investigation of the upper atmosphere and outer space,USSR
285,,,,1968-06-18,,,,,Investigation of the upper atmosphere and outer space,USSR
284,(METEOR),,,1968-06-12,,,,,Investigation of the upper atmosphere and outer space,USSR
283,,,,1968-06-11,,,,,Investigation of the upper atmosphere and outer space,USSR
282,,,,1968-06-04,,,,,Investigation of the upper atmosphere and outer space,USSR
281,,,,1968-06-01,,,,,Investigation of the upper atmosphere and outer space,USSR
280,,,,1968-05-30,,,,,Investigation of the upper atmosphere and outer space,USSR
